No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
3128,M3128,,,,,,,手動OFF BOX28                   ,手動OFF BOX28                   ,
3129,M3129,,,,,,,手動OFF BOX29                   ,手動OFF BOX29                   ,
3130,M3130,,,,,,,手動OFF BOX30                   ,手動OFF BOX30                   ,
3131,M3131,,,,,,,手動OFF BOX31                   ,手動OFF BOX31                   ,
3132,M3132,,,,,,,手動OFF BOX32                   ,手動OFF BOX32                   ,
3133,M3133,,,,,,,手動OFF BOX33                   ,手動OFF BOX33                   ,
3134,M3134,,,,,,,手動OFF BOX34                   ,手動OFF BOX34                   ,
3135,M3135,,,,,,,手動OFF BOX35                   ,手動OFF BOX35                   ,
3136,M3136,,,,,,,手動OFF BOX36                   ,手動OFF BOX36                   ,
3137,M3137,,,,,,,手動OFF BOX37                   ,手動OFF BOX37                   ,
3138,M3138,,,,,,,手動OFF BOX38                   ,手動OFF BOX38                   ,
3139,M3139,,,,,,,手動OFF BOX39                   ,手動OFF BOX39                   ,
3140,M3140,,,,,,,手動OFF BOX40                   ,手動OFF BOX40                   ,
3141,M3141,,,,,,,手動OFF BOX41                   ,手動OFF BOX41                   ,
3142,M3142,,,,,,,手動OFF BOX42                   ,手動OFF BOX42                   ,
3143,M3143,,,,,,,手動OFF BOX43                   ,手動OFF BOX43                   ,
3144,M3144,,,,,,,手動OFF BOX44                   ,手動OFF BOX44                   ,
3145,M3145,,,,,,,手動OFF BOX45                   ,手動OFF BOX45                   ,
3146,M3146,,,,,,,手動OFF BOX46                   ,手動OFF BOX46                   ,
3147,M3147,,,,,,,手動OFF BOX47                   ,手動OFF BOX47                   ,
3148,M3148,,,,,,,手動OFF BOX48                   ,手動OFF BOX48                   ,
3149,M3149,,,,,,,予備                            ,予備                            ,
3150,M3150,,,,,,,手動可能OFF確認                 ,手動可能OFF確認                 ,
3151,M3151,,,,,,,手動可能BOX1                    ,手動可能BOX1                    ,
3152,M3152,,,,,,,手動可能BOX2                    ,手動可能BOX2                    ,
3153,M3153,,,,,,,手動可能BOX3                    ,手動可能BOX3                    ,
3154,M3154,,,,,,,手動可能BOX4                    ,手動可能BOX4                    ,
3155,M3155,,,,,,,手動可能BOX5                    ,手動可能BOX5                    ,
3156,M3156,,,,,,,手動可能BOX6                    ,手動可能BOX6                    ,
3157,M3157,,,,,,,手動可能BOX7                    ,手動可能BOX7                    ,
3158,M3158,,,,,,,手動可能BOX8                    ,手動可能BOX8                    ,
3159,M3159,,,,,,,手動可能BOX9                    ,手動可能BOX9                    ,
3160,M3160,,,,,,,手動可能BOX10                   ,手動可能BOX10                   ,
3161,M3161,,,,,,,手動可能BOX11                   ,手動可能BOX11                   ,
3162,M3162,,,,,,,手動可能BOX12                   ,手動可能BOX12                   ,
3163,M3163,,,,,,,手動可能BOX13                   ,手動可能BOX13                   ,
3164,M3164,,,,,,,手動可能BOX14                   ,手動可能BOX14                   ,
3165,M3165,,,,,,,手動可能BOX15                   ,手動可能BOX15                   ,
3166,M3166,,,,,,,手動可能BOX16                   ,手動可能BOX16                   ,
3167,M3167,,,,,,,手動可能BOX17                   ,手動可能BOX17                   ,
3168,M3168,,,,,,,手動可能BOX18                   ,手動可能BOX18                   ,
3169,M3169,,,,,,,手動可能BOX19                   ,手動可能BOX19                   ,
3170,M3170,,,,,,,手動可能BOX20                   ,手動可能BOX20                   ,
3171,M3171,,,,,,,手動可能BOX21                   ,手動可能BOX21                   ,
3172,M3172,,,,,,,手動可能BOX22                   ,手動可能BOX22                   ,
3173,M3173,,,,,,,手動可能BOX23                   ,手動可能BOX23                   ,
3174,M3174,,,,,,,手動可能BOX24                   ,手動可能BOX24                   ,
3175,M3175,,,,,,,手動可能BOX25                   ,手動可能BOX25                   ,
3176,M3176,,,,,,,手動可能BOX26                   ,手動可能BOX26                   ,
3177,M3177,,,,,,,手動可能BOX27                   ,手動可能BOX27                   ,
3178,M3178,,,,,,,手動可能BOX28                   ,手動可能BOX28                   ,
3179,M3179,,,,,,,手動可能BOX29                   ,手動可能BOX29                   ,
3180,M3180,,,,,,,手動可能BOX30                   ,手動可能BOX30                   ,
3181,M3181,,,,,,,手動可能BOX31                   ,手動可能BOX31                   ,
3182,M3182,,,,,,,手動可能BOX32                   ,手動可能BOX32                   ,
3183,M3183,,,,,,,手動可能BOX33                   ,手動可能BOX33                   ,
3184,M3184,,,,,,,手動可能BOX34                   ,手動可能BOX34                   ,
3185,M3185,,,,,,,手動可能BOX35                   ,手動可能BOX35                   ,
3186,M3186,,,,,,,手動可能BOX36                   ,手動可能BOX36                   ,
3187,M3187,,,,,,,手動可能BOX37                   ,手動可能BOX37                   ,
3188,M3188,,,,,,,手動可能BOX38                   ,手動可能BOX38                   ,
3189,M3189,,,,,,,手動可能BOX39                   ,手動可能BOX39                   ,
3190,M3190,,,,,,,手動可能BOX40                   ,手動可能BOX40                   ,
3191,M3191,,,,,,,手動可能BOX41                   ,手動可能BOX41                   ,
3192,M3192,,,,,,,手動可能BOX42                   ,手動可能BOX42                   ,
3193,M3193,,,,,,,手動可能BOX43                   ,手動可能BOX43                   ,
3194,M3194,,,,,,,手動可能BOX44                   ,手動可能BOX44                   ,
3195,M3195,,,,,,,手動可能BOX45                   ,手動可能BOX45                   ,
