No,Device No1,Device No2,Category,Row_1,Row_2,Row_3,Row_4,Direct_Input,Confirm,Note
0,M0,,GOT一般,GOT_GEN,ｿﾌﾄﾘｾｯﾄ,,GLPB,,GOT_GEN ｿﾌﾄﾘｾｯﾄ         GLPB    ,
1,M1,,GOT一般,GOT_GEN,分割生産,ﾘｾｯﾄ,GLPB,,GOT_GEN 分割生産ﾘｾｯﾄ    GLPB    ,
2,M2,,GOT一般,GOT_GEN,故障解除,,GLPB,,GOT_GEN 故障解除        GLPB    ,
3,M3,,GOT一般,GOT_GEN,警報停止,,GLPB,,GOT_GEN 警報停止        GLPB    ,
4,M4,,GOT一般,GOT_GEN,日付変更,,GLPB,,GOT_GEN 日付変更        GLPB    ,
5,M5,,GOT一般,GOT_GEN,警報音,確認,GLPB,,GOT_GEN 警報音  確認    GLPB    ,
6,M6,,GOT一般,GOT_GEN,計測停止,,GLPB,,GOT_GEN 計測停止        GLPB    ,
7,M7,,GOT一般,GOT_GEN,非常停止,記憶解除,GLPB,,GOT_GEN 非常停止記憶解除GLPB    ,
8,M8,,GOT一般,GOT_GEN,工程,順送り,GLPB,,GOT_GEN 工程    順送り  GLPB    ,
9,M9,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
10,M10,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動運転,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動運転GLPB    ,
11,M11,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動A,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動A   GLPB    ,
12,M12,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動B,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動B   GLPB    ,
13,M13,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動C,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動C   GLPB    ,
14,M14,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動D,GLPB,,GOT_GEN ﾓｰﾄﾞ選択連動D   GLPB    ,
15,M15,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾗｲﾝ単独,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾗｲﾝ単独 GLPB    ,
16,M16,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,造型単独,GLPB,,GOT_GEN ﾓｰﾄﾞ選択造型単独GLPB    ,
17,M17,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾓｰﾄﾞ選択,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾓｰﾄﾞ選択GLPB    ,
18,M18,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾓｰﾄﾞ選択,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾓｰﾄﾞ選択GLPB    ,
19,M19,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾓｰﾄﾞ選択,GLPB,,GOT_GEN ﾓｰﾄﾞ選択ﾓｰﾄﾞ選択GLPB    ,
20,M20,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
21,M21,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
22,M22,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
23,M23,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
24,M24,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
25,M25,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
26,M26,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
27,M27,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
28,M28,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
29,M29,,GOT一般,GOT_GEN,ﾗｲﾝ選択,ﾗｲﾝ選択,GLPB,,GOT_GEN ﾗｲﾝ選択 ﾗｲﾝ選択 GLPB    ,
30,M30,,GOT一般,GOT_GEN,試運起動,410送り,GLPB,,GOT_GEN 試運起動410送り GLPB    ,
31,M31,,GOT一般,GOT_GEN,試運起動,630冷却A,GLPB,,GOT_GEN 試運起動630冷却AGLPB    ,
32,M32,,GOT一般,GOT_GEN,試運起動,630冷却B,GLPB,,GOT_GEN 試運起動630冷却BGLPB    ,
33,M33,,GOT一般,GOT_GEN,試運起動,630注湯A,GLPB,,GOT_GEN 試運起動630注湯AGLPB    ,
34,M34,,GOT一般,GOT_GEN,試運起動,630注湯B,GLPB,,GOT_GEN 試運起動630注湯BGLPB    ,
35,M35,,GOT一般,GOT_GEN,試運起動,ﾛﾎﾞｯﾄ,GLPB,,GOT_GEN 試運起動ﾛﾎﾞｯﾄ   GLPB    ,
36,M36,,GOT一般,GOT_GEN,試運起動,湯口成型,GLPB,,GOT_GEN 試運起動湯口成型GLPB    ,
37,M37,,GOT一般,GOT_GEN,試運起動,原点復帰,GLPB,,GOT_GEN 試運起動原点復帰GLPB    ,
38,M38,,GOT一般,GOT_GEN,試運起動,,GLPB,,GOT_GEN 試運起動        GLPB    ,
39,M39,,GOT一般,GOT_GEN,試運起動,,GLPB,,GOT_GEN 試運起動        GLPB    ,
40,M40,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
41,M41,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
42,M42,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
43,M43,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
44,M44,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
45,M45,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
46,M46,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
47,M47,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
48,M48,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
49,M49,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
50,M50,,GOT一般,GOT_GEN,油圧起動,個別,GLPB,,GOT_GEN 油圧起動個別    GLPB    ,
51,M51,,GOT一般,GOT_GEN,油圧起動,U1,GLPB,,GOT_GEN 油圧起動U1      GLPB    ,
52,M52,,GOT一般,GOT_GEN,油圧起動,U2,GLPB,,GOT_GEN 油圧起動U2      GLPB    ,
53,M53,,GOT一般,GOT_GEN,油圧起動,U3,GLPB,,GOT_GEN 油圧起動U3      GLPB    ,
54,M54,,GOT一般,GOT_GEN,油圧起動,U4,GLPB,,GOT_GEN 油圧起動U4      GLPB    ,
55,M55,,GOT一般,GOT_GEN,油圧起動,U5,GLPB,,GOT_GEN 油圧起動U5      GLPB    ,
56,M56,,GOT一般,GOT_GEN,油圧起動,U6,GLPB,,GOT_GEN 油圧起動U6      GLPB    ,
57,M57,,GOT一般,GOT_GEN,油圧起動,U7,GLPB,,GOT_GEN 油圧起動U7      GLPB    ,
58,M58,,GOT一般,GOT_GEN,油圧起動,U8,GLPB,,GOT_GEN 油圧起動U8      GLPB    ,
59,M59,,GOT一般,GOT_GEN,油圧起動,U9,GLPB,,GOT_GEN 油圧起動U9      GLPB    ,
60,M60,,GOT一般,GOT_GEN,油圧停止,全体,GLPB,,GOT_GEN 油圧停止全体    GLPB    ,
61,M61,,GOT一般,GOT_GEN,油圧停止,U1,GLPB,,GOT_GEN 油圧停止U1      GLPB    ,
62,M62,,GOT一般,GOT_GEN,油圧停止,U2,GLPB,,GOT_GEN 油圧停止U2      GLPB    ,
63,M63,,GOT一般,GOT_GEN,油圧停止,U3,GLPB,,GOT_GEN 油圧停止U3      GLPB    ,
64,M64,,GOT一般,GOT_GEN,油圧停止,U4,GLPB,,GOT_GEN 油圧停止U4      GLPB    ,
65,M65,,GOT一般,GOT_GEN,油圧停止,U5,GLPB,,GOT_GEN 油圧停止U5      GLPB    ,
66,M66,,GOT一般,GOT_GEN,油圧停止,U6,GLPB,,GOT_GEN 油圧停止U6      GLPB    ,
67,M67,,GOT一般,GOT_GEN,油圧停止,U7,GLPB,,GOT_GEN 油圧停止U7      GLPB    ,
68,M68,,GOT一般,GOT_GEN,油圧停止,U8,GLPB,,GOT_GEN 油圧停止U8      GLPB    ,
69,M69,,GOT一般,GOT_GEN,油圧停止,U9,GLPB,,GOT_GEN 油圧停止U9      GLPB    ,
70,M70,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,ｻｰﾎﾞｵﾝ,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   ｻｰﾎﾞｵﾝ  GLPB    ,
71,M71,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,減速停止,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   減速停止GLPB    ,
72,M72,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,非常停止,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   非常停止GLPB    ,
73,M73,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,ﾎｰﾙﾄﾞ,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   ﾎｰﾙﾄﾞ   GLPB    ,
74,M74,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,作業原点,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   作業原点GLPB    ,
75,M75,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,PH_RESET,GLPB,,GOT_GEN ﾛﾎﾞｯﾄ   PH_RESETGLPB    ,
76,M76,,GOT一般,GOT_GEN,ｻｰﾎﾞ,RESET,GLPB,,GOT_GEN ｻｰﾎﾞ    RESET   GLPB    ,
77,M77,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
78,M78,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
79,M79,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
80,M80,,GOT一般,GOT_GEN,工程順送,,GLPB,,GOT_GEN 工程順送        GLPB    ,
81,M81,,GOT一般,GOT_GEN,工程順送,,ﾊﾟﾙｽ,,GOT_GEN 工程順送        ﾊﾟﾙｽ    ,
82,M82,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
83,M83,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
84,M84,,GOT一般,GOT_GEN,不可逆,ﾘｾｯﾄ,GLPB,,GOT_GEN 不可逆  ﾘｾｯﾄ    GLPB    ,
85,M85,,GOT一般,GOT_GEN,ブロック,試運転,GLPB,,GOT_GEN ブロック試運転  GLPB    ,
86,M86,,GOT一般,GOT_GEN,ブロック,試運転,ﾊﾟﾙｽ,,GOT_GEN ブロック試運転  ﾊﾟﾙｽ    ,
87,M87,,GOT一般,GOT_GEN,戻し運転,実行,GLPB,,GOT_GEN 戻し運転実行    GLPB    ,
88,M88,,GOT一般,GOT_GEN,戻し運転,実行中,GLPL,,GOT_GEN 戻し運転実行中  GLPL    ,
89,M89,,GOT一般,GOT_GEN,ブロック,実行中,GLPB,,GOT_GEN ブロック実行中  GLPB    ,
90,M90,,GOT一般,GOT_GEN,造型状況,ﾘｾｯﾄ,GLPB,,GOT_GEN 造型状況ﾘｾｯﾄ    GLPB    ,
91,M91,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
92,M92,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
93,M93,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
94,M94,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
95,M95,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
96,M96,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
97,M97,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
98,M98,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
99,M99,,GOT一般,GOT_GEN,,,GLPB,,GOT_GEN                 GLPB    ,
100,M100,,GOT一般,GOT_GEN,ｿﾌﾄﾘｾｯﾄ,,GLPL,,GOT_GEN ｿﾌﾄﾘｾｯﾄ         GLPL    ,
101,M101,,GOT一般,GOT_GEN,分割生産,ﾘｾｯﾄ,GLPL,,GOT_GEN 分割生産ﾘｾｯﾄ    GLPL    ,
102,M102,,GOT一般,GOT_GEN,故障解除,,GLPL,,GOT_GEN 故障解除        GLPL    ,
103,M103,,GOT一般,GOT_GEN,警報停止,,GLPL,,GOT_GEN 警報停止        GLPL    ,
104,M104,,GOT一般,GOT_GEN,日付変更,,GLPL,,GOT_GEN 日付変更        GLPL    ,
105,M105,,GOT一般,GOT_GEN,警報音,確認,GLPL,,GOT_GEN 警報音  確認    GLPL    ,
106,M106,,GOT一般,GOT_GEN,計測停止,,GLPL,,GOT_GEN 計測停止        GLPL    ,
107,M107,,GOT一般,GOT_GEN,非常停止,記憶解除,GLPL,,GOT_GEN 非常停止記憶解除GLPL    ,
108,M108,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
109,M109,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
110,M110,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動運転,GLPL,,GOT_GEN ﾓｰﾄﾞ選択連動運転GLPL    ,
111,M111,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動A,GLPL,,GOT_GEN ﾓｰﾄﾞ選択連動A   GLPL    ,
112,M112,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動B,GLPL,,GOT_GEN ﾓｰﾄﾞ選択連動B   GLPL    ,
113,M113,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動C,GLPL,,GOT_GEN ﾓｰﾄﾞ選択連動C   GLPL    ,
114,M114,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,連動D,GLPL,,GOT_GEN ﾓｰﾄﾞ選択連動D   GLPL    ,
115,M115,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,ﾗｲﾝ単独,GLPL,,GOT_GEN ﾓｰﾄﾞ選択ﾗｲﾝ単独 GLPL    ,
116,M116,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,造型単独,GLPL,,GOT_GEN ﾓｰﾄﾞ選択造型単独GLPL    ,
117,M117,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,冷却単独,GLPL,,GOT_GEN ﾓｰﾄﾞ選択冷却単独GLPL    ,
118,M118,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,,GLPL,,GOT_GEN ﾓｰﾄﾞ選択        GLPL    ,
119,M119,,GOT一般,GOT_GEN,ﾓｰﾄﾞ選択,,GLPL,,GOT_GEN ﾓｰﾄﾞ選択        GLPL    ,
120,M120,,GOT一般,GOT_GEN,ﾗｲﾝ選択,交互搬送,GLPL,,GOT_GEN ﾗｲﾝ選択 交互搬送GLPL    ,
121,M121,,GOT一般,GOT_GEN,ﾗｲﾝ選択,A,GLPL,,GOT_GEN ﾗｲﾝ選択 A       GLPL    ,
122,M122,,GOT一般,GOT_GEN,ﾗｲﾝ選択,B,GLPL,,GOT_GEN ﾗｲﾝ選択 B       GLPL    ,
123,M123,,GOT一般,GOT_GEN,ﾗｲﾝ選択,C,GLPL,,GOT_GEN ﾗｲﾝ選択 C       GLPL    ,
124,M124,,GOT一般,GOT_GEN,ﾗｲﾝ選択,D,GLPL,,GOT_GEN ﾗｲﾝ選択 D       GLPL    ,
125,M125,,GOT一般,GOT_GEN,ﾗｲﾝ選択,E,GLPL,,GOT_GEN ﾗｲﾝ選択 E       GLPL    ,
126,M126,,GOT一般,GOT_GEN,ﾗｲﾝ選択,F,GLPL,,GOT_GEN ﾗｲﾝ選択 F       GLPL    ,
127,M127,,GOT一般,GOT_GEN,ﾗｲﾝ選択,G,GLPL,,GOT_GEN ﾗｲﾝ選択 G       GLPL    ,
128,M128,,GOT一般,GOT_GEN,ﾗｲﾝ選択,H,GLPL,,GOT_GEN ﾗｲﾝ選択 H       GLPL    ,
129,M129,,GOT一般,GOT_GEN,ﾗｲﾝ選択,I,GLPL,,GOT_GEN ﾗｲﾝ選択 I       GLPL    ,
130,M130,,GOT一般,GOT_GEN,試運起動,410送り,GLPL,,GOT_GEN 試運起動410送り GLPL    ,
131,M131,,GOT一般,GOT_GEN,試運起動,630冷却A,GLPL,,GOT_GEN 試運起動630冷却AGLPL    ,
132,M132,,GOT一般,GOT_GEN,試運起動,630冷却B,GLPL,,GOT_GEN 試運起動630冷却BGLPL    ,
133,M133,,GOT一般,GOT_GEN,試運起動,630注湯A,GLPL,,GOT_GEN 試運起動630注湯AGLPL    ,
134,M134,,GOT一般,GOT_GEN,試運起動,630注湯B,GLPL,,GOT_GEN 試運起動630注湯BGLPL    ,
135,M135,,GOT一般,GOT_GEN,試運起動,ﾛﾎﾞｯﾄ,GLPL,,GOT_GEN 試運起動ﾛﾎﾞｯﾄ   GLPL    ,
136,M136,,GOT一般,GOT_GEN,試運起動,湯口成型,GLPL,,GOT_GEN 試運起動湯口成型GLPL    ,
137,M137,,GOT一般,GOT_GEN,試運起動,原点復帰,GLPL,,GOT_GEN 試運起動原点復帰GLPL    ,
138,M138,,GOT一般,GOT_GEN,試運起動,,GLPL,,GOT_GEN 試運起動        GLPL    ,
139,M139,,GOT一般,GOT_GEN,試運起動,,GLPL,,GOT_GEN 試運起動        GLPL    ,
140,M140,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
141,M141,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
142,M142,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
143,M143,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
144,M144,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
145,M145,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
146,M146,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
147,M147,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
148,M148,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
149,M149,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
150,M150,,GOT一般,GOT_GEN,油圧起動,個別,GLPL,,GOT_GEN 油圧起動個別    GLPL    ,
151,M151,,GOT一般,GOT_GEN,油圧起動,U1,GLPL,,GOT_GEN 油圧起動U1      GLPL    ,
152,M152,,GOT一般,GOT_GEN,油圧起動,U2,GLPL,,GOT_GEN 油圧起動U2      GLPL    ,
153,M153,,GOT一般,GOT_GEN,油圧起動,U3,GLPL,,GOT_GEN 油圧起動U3      GLPL    ,
154,M154,,GOT一般,GOT_GEN,油圧起動,U4,GLPL,,GOT_GEN 油圧起動U4      GLPL    ,
155,M155,,GOT一般,GOT_GEN,油圧起動,U5,GLPL,,GOT_GEN 油圧起動U5      GLPL    ,
156,M156,,GOT一般,GOT_GEN,油圧起動,U6,GLPL,,GOT_GEN 油圧起動U6      GLPL    ,
157,M157,,GOT一般,GOT_GEN,油圧起動,U7,GLPL,,GOT_GEN 油圧起動U7      GLPL    ,
158,M158,,GOT一般,GOT_GEN,油圧起動,U8,GLPL,,GOT_GEN 油圧起動U8      GLPL    ,
159,M159,,GOT一般,GOT_GEN,油圧起動,U8,GLPL,,GOT_GEN 油圧起動U8      GLPL    ,
160,M160,,GOT一般,GOT_GEN,油圧停止,全体,GLPL,,GOT_GEN 油圧停止全体    GLPL    ,
161,M161,,GOT一般,GOT_GEN,油圧停止,U1,GLPL,,GOT_GEN 油圧停止U1      GLPL    ,
162,M162,,GOT一般,GOT_GEN,油圧停止,U2,GLPL,,GOT_GEN 油圧停止U2      GLPL    ,
163,M163,,GOT一般,GOT_GEN,油圧停止,U3,GLPL,,GOT_GEN 油圧停止U3      GLPL    ,
164,M164,,GOT一般,GOT_GEN,油圧停止,U4,GLPL,,GOT_GEN 油圧停止U4      GLPL    ,
165,M165,,GOT一般,GOT_GEN,油圧停止,U5,GLPL,,GOT_GEN 油圧停止U5      GLPL    ,
166,M166,,GOT一般,GOT_GEN,油圧停止,U6,GLPL,,GOT_GEN 油圧停止U6      GLPL    ,
167,M167,,GOT一般,GOT_GEN,油圧停止,U7,GLPL,,GOT_GEN 油圧停止U7      GLPL    ,
168,M168,,GOT一般,GOT_GEN,油圧停止,U8,GLPL,,GOT_GEN 油圧停止U8      GLPL    ,
169,M169,,GOT一般,GOT_GEN,油圧停止,U8,GLPL,,GOT_GEN 油圧停止U8      GLPL    ,
170,M170,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,ｻｰﾎﾞｵﾝ,GLPL,,GOT_GEN ﾛﾎﾞｯﾄ   ｻｰﾎﾞｵﾝ  GLPL    ,
171,M171,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,減速停止,GLPL,,GOT_GEN ﾛﾎﾞｯﾄ   減速停止GLPL    ,
172,M172,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,非常停止,GLPL,,GOT_GEN ﾛﾎﾞｯﾄ   非常停止GLPL    ,
173,M173,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,ﾎｰﾙﾄﾞ,GLPL,,GOT_GEN ﾛﾎﾞｯﾄ   ﾎｰﾙﾄﾞ   GLPL    ,
174,M174,,GOT一般,GOT_GEN,ﾛﾎﾞｯﾄ,作業原点,GLPL,,GOT_GEN ﾛﾎﾞｯﾄ   作業原点GLPL    ,
175,M175,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
176,M176,,GOT一般,GOT_GEN,ｻｰﾎﾞ,ﾘｾｯﾄ,GLPL,,GOT_GEN ｻｰﾎﾞ    ﾘｾｯﾄ    GLPL    ,
177,M177,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
178,M178,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
179,M179,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
180,M180,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
181,M181,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
182,M182,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
183,M183,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
184,M184,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
185,M185,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
186,M186,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
187,M187,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
188,M188,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
189,M189,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
190,M190,,GOT一般,GOT_GEN,造型状況,ﾘｾｯﾄ,GLPL,,GOT_GEN 造型状況ﾘｾｯﾄ    GLPL    ,
191,M191,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
192,M192,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
193,M193,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
194,M194,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
195,M195,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
196,M196,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
197,M197,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
198,M198,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
199,M199,,GOT一般,GOT_GEN,,,GLPL,,GOT_GEN                 GLPL    ,
200,M200,,GOTランプ,GOT_LAMP,故障中,全般,GLPL,,GOT_LAMP故障中  全般    GLPL    ,
201,M201,,GOTランプ,GOT_LAMP,故障中,,GLPL,,GOT_LAMP故障中          GLPL    ,
202,M202,,GOTランプ,GOT_LAMP,故障中,,GLPL,,GOT_LAMP故障中          GLPL    ,
203,M203,,GOTランプ,GOT_LAMP,故障中,,GLPL,,GOT_LAMP故障中          GLPL    ,
204,M204,,GOTランプ,GOT_LAMP,故障中,,GLPL,,GOT_LAMP故障中          GLPL    ,
205,M205,,GOTランプ,GOT_LAMP,運転準備,,GLPL,,GOT_LAMP運転準備        GLPL    ,
206,M206,,GOTランプ,GOT_LAMP,操作回路,,GLPL,,GOT_LAMP操作回路        GLPL    ,
207,M207,,GOTランプ,GOT_LAMP,一時停止,,GLPL,,GOT_LAMP一時停止        GLPL    ,
208,M208,,GOTランプ,GOT_LAMP,一時停止,解除遅延,GLPL,,GOT_LAMP一時停止解除遅延GLPL    ,
209,M209,,GOTランプ,GOT_LAMP,,,GLPL,,GOT_LAMP                GLPL    ,
210,M210,,GOTランプ,GOT_LAMP,運転中,ﾗｲﾝ,GLPL,,GOT_LAMP運転中  ﾗｲﾝ     GLPL    ,
211,M211,,GOTランプ,GOT_LAMP,運転中,造型機,GLPL,,GOT_LAMP運転中  造型機  GLPL    ,
212,M212,,GOTランプ,GOT_LAMP,運転中,二次冷却,GLPL,,GOT_LAMP運転中  二次冷却GLPL    ,
213,M213,,GOTランプ,GOT_LAMP,運転中,ガス針,GLPL,,GOT_LAMP運転中  ガス針  GLPL    ,
214,M214,,GOTランプ,GOT_LAMP,運転中,,GLPL,,GOT_LAMP運転中          GLPL    ,
215,M215,,GOTランプ,GOT_LAMP,運転中,上型造型,GLPL,,GOT_LAMP運転中  上型造型GLPL    ,
216,M216,,GOTランプ,GOT_LAMP,運転中,下型造型,GLPL,,GOT_LAMP運転中  下型造型GLPL    ,
217,M217,,GOTランプ,GOT_LAMP,運転中,型交換,GLPL,,GOT_LAMP運転中  型交換  GLPL    ,
218,M218,,GOTランプ,GOT_LAMP,運転中,型替,GLPL,,GOT_LAMP運転中  型替    GLPL    ,
219,M219,,GOTランプ,GOT_LAMP,運転中,,GLPL,,GOT_LAMP運転中          GLPL    ,
220,M220,,GOTランプ,GOT_LAMP,運転中,砂処理,GLPL,,GOT_LAMP運転中  砂処理  GLPL    ,
221,M221,,GOTランプ,GOT_LAMP,運転中,既設SHO,GLPL,,GOT_LAMP運転中  既設SHO GLPL    ,
222,M222,,GOTランプ,GOT_LAMP,運転中,ｵｼﾚｰﾄ,GLPL,,GOT_LAMP運転中  ｵｼﾚｰﾄ   GLPL    ,
